"cdate","cp","pctlead","pctlag1","moydow"
"1983-03-28",151.850006,-0.171228178943894,-0.537100943696865,"03_1"
"1983-03-29",151.589996,1.18741542812626,-0.171228178943894,"03_2"
"1983-03-30",153.389999,-0.280325968318181,1.18741542812626,"03_3"
"1983-03-31",152.960007,0.0392239783304991,-0.280325968318181,"03_4"
"1983-04-04",153.020004,-0.731936982566023,0.0392239783304991,"04_1"
"1983-04-05",151.899994,-0.566162629341501,-0.731936982566023,"04_2"
"1983-04-06",151.039993,0.476696261499425,-0.566162629341501,"04_3"
"1983-04-07",151.759995,0.718246597201063,0.476696261499425,"04_4"
"1983-04-08",152.850006,1.49819621204332,0.718246597201063,"04_5"
"1983-04-11",155.139999,0.438318940558982,1.49819621204332,"04_1"
"1983-04-12",155.820007,0.609675880710233,0.438318940558982,"04_2"
"1983-04-13",156.770004,0.861128382697489,0.609675880710233,"04_3"
"1983-04-14",158.119995,0.398434745713223,0.861128382697489,"04_4"
"1983-04-15",158.75,0.623625196850392,0.398434745713223,"04_5"
"1983-04-18",159.740005,-0.644796524201941,0.623625196850392,"04_1"
"1983-04-19",158.710007,1.26015998474501,-0.644796524201941,"04_2"
"1983-04-20",160.710007,-0.410680089137191,1.26015998474501,"04_3"
"1983-04-21",160.050003,0.231174628594033,-0.410680089137191,"04_4"
"1983-04-22",160.419998,-1.00361552180046,0.231174628594033,"04_5"
"1983-04-25",158.809998,1.88904983173666,-1.00361552180046,"04_1"
"1983-04-26",161.809998,-0.228660777809301,1.88904983173666,"04_2"
"1983-04-27",161.440002,0.935328903179773,-0.228660777809301,"04_3"
"1983-04-28",162.949997,0.908251627645013,0.935328903179773,"04_4"
"1983-04-29",164.429993,-1.41092993904098,0.908251627645013,"04_5"
"1983-05-02",162.110001,0.141875885868388,-1.41092993904098,"05_1"
"1983-05-03",162.339996,0.597512642540655,0.141875885868388,"05_2"
"1983-05-04",163.309998,0.593963022398663,0.597512642540655,"05_3"
"1983-05-05",164.279999,1.1078688891397,0.593963022398663,"05_4"
"1983-05-06",166.100006,-0.174598428370918,1.1078688891397,"05_5"
"1983-05-09",165.809998,0.0844333886307561,-0.174598428370918,"05_1"
"1983-05-10",165.949997,-0.596559215364135,0.0844333886307561,"05_2"
"1983-05-11",164.960007,-0.430411596672635,-0.596559215364135,"05_3"
